date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
24/08/2026;San Bartolomé;Bartolome Deunaren;Bidania-Goiatz  - Bidania;Bidania-Goiatz  - Bidania;Gipuzkoa;24.0;43.139.399;-2.159.979
14/08/2026;Víspera de Andra Mari;Andra Mari Bezpera;Bidania-Goiatz  - Goiatz;Bidania-Goiatz  - Goiatz;Gipuzkoa;24.0;43.142.086;-2.167.475
17/08/2026;Fiesta local;Tokiko jai-eguna;Deba  ;Deba  ;Gipuzkoa;29.0;43.295.562;-2.353.894
20/01/2026;San Sebastián;San Sebastian;Donostia-San Sebastian  ;Donostia-San Sebastian  ;Gipuzkoa;69.0;43.321.874;-198.552
24/06/2026;San Juan;San Juan;Eibar  ;Eibar  ;Gipuzkoa;30.0;4.318.418;-2.473.289
08/09/2026;Fiesta local;Tokiko jai-eguna;Elduaien  ;Elduain  ;Gipuzkoa;31.0;43.140.712;-2.000.488
03/07/2026;Fiesta local;Tokiko jai-eguna;Elgeta  ;Elgeta  ;Gipuzkoa;33.0;43.136.572;-2.487.392
17/01/2026;San Antón;San Anton;Elgoibar  ;Elgoibar  ;Gipuzkoa;32.0;43.215.187;-2.415.702
22/07/2026;Día de la Magdalena;Madalena eguna;Errenteria  ;Errenteria  ;Gipuzkoa;67.0;43.312.752;-1.899.633
11/11/2026;Fiesta local;Tokiko jai-eguna;Errezil  ;Errezil  ;Gipuzkoa;66.0;43.164.674;-2.173.594
29/06/2026;Fiesta local;Tokiko jai-eguna;Eskoriatza  ;Eskoriatza  ;Gipuzkoa;34.0;43.017.074;-252.698
08/05/2026;S. Miguel;Mikel Deuna;Ezkio-Itsaso - Barrio Ezkio  ;Ezkio-Itsaso - Ezkio Auzoa;Gipuzkoa;35.0;43.058.055;-2.268.215
29/06/2026;San Pedro;San Pedro;Ezkio-Itsaso - Barrio Santa Luzia-Anduaga;Ezkio-Itsaso - Sta. Lutzi-Anduaga Auzoa;Gipuzkoa;35.0;43.080.484;-2.275.421
